age,gender,race,income,education,approved,loan_amount
25,Male,White,50000,Bachelors,1,25000
30,Female,Black,35000,Masters,0,0
22,Male,Hispanic,25000,High School,1,10000
35,Female,White,75000,PhD,1,50000
28,Male,Asian,60000,Masters,1,30000
45,Female,Black,45000,Bachelors,0,0
33,Male,White,55000,Masters,1,35000
29,Female,Hispanic,30000,Bachelors,0,0
38,Male,Asian,80000,PhD,1,60000
26,Female,White,40000,Masters,1,20000
31,Male,Black,32000,High School,0,0
24,Female,Hispanic,28000,Bachelors,1,15000
42,Male,White,65000,Masters,1,40000
27,Female,Asian,70000,PhD,1,45000
36,Male,Black,38000,Bachelors,0,0
23,Female,White,22000,High School,0,0
34,Male,Hispanic,48000,Masters,1,25000
29,Female,Black,33000,Bachelors,0,0
41,Male,Asian,90000,PhD,1,70000
26,Female,White,37000,Masters,1,22000
32,Male,Black,42000,Bachelors,1,28000
28,Female,Hispanic,31000,High School,0,0
39,Male,White,68000,Masters,1,45000
25,Female,Asian,52000,Bachelors,1,32000
35,Male,Black,46000,Masters,0,0
30,Female,White,44000,PhD,1,35000
27,Male,Hispanic,29000,Bachelors,0,0
44,Female,Asian,85000,Masters,1,65000
33,Male,White,58000,PhD,1,42000
29,Female,Black,36000,Bachelors,1,24000
37,Male,Hispanic,51000,Masters,1,38000
24,Female,White,26000,High School,0,0
40,Male,Asian,72000,PhD,1,55000
31,Female,Black,39000,Masters,0,0
28,Male,White,43000,Bachelors,1,28000
35,Female,Hispanic,47000,PhD,1,40000
26,Male,Black,34000,Masters,0,0
38,Female,Asian,78000,Masters,1,60000
32,Male,White,56000,Bachelors,1,38000
29,Female,Black,31000,High School,0,0
41,Male,Hispanic,62000,Masters,1,48000
27,Female,White,38000,PhD,1,30000
36,Male,Asian,76000,Masters,1,58000
30,Female,Black,41000,Bachelors,0,0
33,Male,White,54000,Masters,1,36000
28,Female,Hispanic,32000,Bachelors,1,22000
45,Male,Black,49000,Masters,0,0
26,Female,Asian,66000,PhD,1,48000
34,Male,White,57000,Bachelors,1,38000
31,Female,Black,37000,Masters,0,0
39,Male,Hispanic,69000,PhD,1,52000
25,Female,White,29000,High School,0,0
42,Male,Asian,82000,Masters,1,64000
